price,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,avg_mpg,footprint,price_per_hp,hp_per_1000usd,power_density,weight_per_hp,segment,price_band,price_decile_label,source_status,outlier_review_status,imputed_columns,imputed_count,make_group
13495.0,3,119.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,24.0,10820.08,121.57657657657657,8.22526861800667,0.8538461538461538,22.954954954954953,Balanced Core,"(12350.0, 15208.0]","(12350.0, 15208.0]",original_record_retained,reviewed_valid_retained,normalized-losses,1,other
16500.0,3,119.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,24.0,10820.08,148.64864864864865,6.7272727272727275,0.8538461538461538,22.954954954954953,Balanced Core,"(15208.0, 17249.2]","(15208.0, 17249.2]",original_record_retained,reviewed_valid_retained,normalized-losses,1,other
16500.0,1,119.0,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,22.5,11213.599999999999,107.14285714285714,9.333333333333334,1.013157894736842,18.33116883116883,Premium Performance,"(15208.0, 17249.2]","(15208.0, 17249.2]",original_record_retained,reviewed_valid_retained,normalized-losses,1,other
13950.0,2,164.0,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,27.0,11690.92,136.76470588235293,7.311827956989247,0.9357798165137615,22.91176470588235,Balanced Core,"(12350.0, 15208.0]","(12350.0, 15208.0]",original_record_retained,reviewed_valid_retained,none,0,other
17450.0,2,164.0,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,20.0,11726.24,151.7391304347826,6.590257879656161,0.8455882352941176,24.556521739130435,Balanced Core,"(17249.2, 22289.2]","(17249.2, 22289.2]",original_record_retained,reviewed_valid_retained,none,0,other
15250.0,2,161.0,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,22.0,11754.99,138.63636363636363,7.213114754098361,0.8088235294117647,22.79090909090909,Balanced Core,"(15208.0, 17249.2]","(15208.0, 17249.2]",original_record_retained,reviewed_valid_retained,normalized-losses,1,other
17710.0,1,158.0,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,22.0,13758.78,161.0,6.211180124223602,0.8088235294117647,25.854545454545455,Balanced Core,"(17249.2, 22289.2]","(17249.2, 22289.2]",original_record_retained,reviewed_valid_retained,none,0,other
18920.0,1,161.0,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,22.0,13758.78,172.0,5.813953488372093,0.8088235294117647,26.854545454545455,Balanced Core,"(17249.2, 22289.2]","(17249.2, 22289.2]",original_record_retained,reviewed_valid_retained,normalized-losses,1,other
23875.0,1,158.0,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,18.5,13758.78,170.53571428571428,5.863874345549738,1.0687022900763359,22.042857142857144,Premium Performance,"(22289.2, 45400.0]","(22289.2, 45400.0]",original_record_retained,reviewed_valid_retained,none,0,other
10295.0,0,161.0,audi,gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160.0,5500.0,16,22,19.0,12099.78,64.34375,15.541525012141816,1.2213740458015268,19.08125,Balanced Core,"(9036.6, 10295.0]","(9036.6, 10295.0]",original_record_retained,reviewed_valid_retained,"price, normalized-losses",2,other
16430.0,2,192.0,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,26.0,11456.64,162.67326732673268,6.1472915398660986,0.9351851851851852,23.712871287128714,Balanced Core,"(15208.0, 17249.2]","(15208.0, 17249.2]",original_record_retained,reviewed_valid_retained,none,0,other
16925.0,0,192.0,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,26.0,11456.64,167.5742574257426,5.967503692762186,0.9351851851851852,23.712871287128714,Balanced Core,"(15208.0, 17249.2]","(15208.0, 17249.2]",original_record_retained,reviewed_valid_retained,none,0,other
20970.0,0,188.0,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,24.5,11456.64,173.30578512396696,5.770147830233667,0.7378048780487805,22.39669421487603,Premium Performance,"(17249.2, 22289.2]","(17249.2, 22289.2]",original_record_retained,reviewed_valid_retained,none,0,other
21105.0,0,188.0,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,24.5,11456.64,174.4214876033058,5.7332385690594645,0.7378048780487805,22.85123966942149,Premium Performance,"(17249.2, 22289.2]","(17249.2, 22289.2]",original_record_retained,reviewed_valid_retained,none,0,other
24565.0,1,190.0,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,22.5,12644.1,203.01652892561984,4.925707307144311,0.7378048780487805,25.24793388429752,Premium Performance,"(22289.2, 45400.0]","(22289.2, 45400.0]",original_record_retained,reviewed_valid_retained,normalized-losses,1,other
30760.0,0,190.0,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,19.0,12644.1,169.01098901098902,5.916775032509753,0.8708133971291866,17.747252747252748,Premium Performance,"(22289.2, 45400.0]","(22289.2, 45400.0]",original_record_retained,reviewed_valid_retained,normalized-losses,1,other
41315.0,0,190.0,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,19.0,13159.020000000002,227.0054945054945,4.405179716809876,0.8708133971291866,18.571428571428573,Premium Performance,"(22289.2, 45400.0]","(22289.2, 45400.0]",original_record_retained,reviewed_valid_retained,normalized-losses,1,other
36880.0,0,190.0,bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,17.5,13967.300000000001,202.63736263736263,4.934924078091106,0.8708133971291866,19.25824175824176,Premium Performance,"(22289.2, 45400.0]","(22289.2, 45400.0]",original_record_retained,reviewed_valid_retained,normalized-losses,1,other
